id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
CLI01580,Tahiri,Yasmine,yasmine.tahiri@outlook.com,1977-09-24,0,Rabat,0636702751,2023-10-09,Google SEO
CLI02728,Naciri,Houda,houda_naciri@menara.ma,1982-06-15,F,Agadir,0743189100,2025-01-03,Recommandation
CLI03267,Tahiri,Riad,riad.tahiri@yahoo.fr,2008-11-22,male,Safi,0746422730,2024-05-31,Google SEO
CLI97374,Bouyahia,Aicha,aicha_bouyahia@hotmail.com,1979-02-14,female,Fès,0613191075,2022-05-22,Facebook
CLI03363,Drissi,Reda,reda-drissi64@outlook.com,1995-06-08,1,Casablanca,0776238026,2022-07-21,Direct
CLI03971,Ksikes,Riad,riad-ksikes@outlook.com,2003-03-01,Homme,Marrakech,0797261424,2022-07-05,Recommandation
CLI04186,Zeroual,Aicha,aichazeroual@gmail.com,1960-10-01,0,rabat,0697673148,2023-10-06,Instagram
CLI00163,Moussaoui,Ayoub,ayoub-moussaoui@yahoo.fr,2009-09-17,1,Béni Mellal,0671296666,2023-02-06,Direct
CLI03280,Fennich,Hamid,hamidfennich@outlook.com,1982-06-25,m,Taza,0720892799,2023-09-12,Direct
CLI00428,Lahlou,Issam,issam_lahlou91@outlook.com,1985-03-17,M,El Jadida,0702374167,2023-12-21,Affichage
CLI00834,Rhazouani,Zakaria,zakariarhazouani@menara.ma,1990-05-23,male,Oujda,0671472463,2024-07-26,Google SEO
CLI02711,Errami,Oumaima,oumaima-errami@yahoo.fr,1979-11-12,female,Marrakech,0676471862,2024-05-31,TV
CLI04086,Moussaoui,Zineb,zinebmoussaoui@yahoo.fr,1994-12-27,female,Tanger,0615959318,2024-07-06,TikTok
CLI04849,Bouyahia,Rachid,rachid-bouyahia@outlook.com,1967-02-11,male,El Jadida,0745252416,2022-09-18,Instagram
CLI04346,Benjelloun,Khalid,khalid.benjelloun75@hotmail.com,1994-11-23,Homme,Tanger,0796160505,2025-04-11,Google SEO
CLI01983,El Mansouri,Oumaima,oumaima-elmansouri93@yahoo.fr,1890-01-01,Femme,meknes,0766847072,2024-12-15,Influenceur
CLI03176,Benali,Siham,siham-benali67@hotmail.com,2001-02-28,0,Tétouan,0715010239,2025-03-29,Recommandation
CLI03253,Lamrani,Riad,riad_lamrani47@menara.ma,1953-12-12,M,Taza,0717715564,2024-08-26,Affichage
CLI95855,Zeroual,Latifa,latifazeroual@outlook.com,2006-08-25,0,Marrakech,0714337004,2023-07-15,TV
CLI03427,Berrada,Latifa,latifa_berrada@yahoo.fr,2007-11-06,f,Marrakech,0690025587,2024-09-27,Affichage
CLI02138,Berrada,Latifa,latifaberrada@gmail.com,1964-01-11,female,Marrakech,0714119101,2024-05-09,Recommandation
CLI01598,Alaoui,Meryem,meryem_alaoui32@yahoo.fr,1945-05-31,0,KENITRA,0672094803,2024-05-11,Influenceur
CLI03913,Bouyahia,Ali,ali.bouyahia@yahoo.fr,2004-05-18,Homme,tangier,0603082736,2025-08-15,Email
CLI04971,Bensouda,Najat,najatbensouda50@outlook.com,1996-05-16,F,Tanger,0652331907,2025-12-13,Facebook
CLI00159,Mernissi,Ilham,ilham.mernissi@gmail.com,1962-08-04,female,Casablanca,0715454443,2022-06-30,Facebook
CLI00998,El Mansouri,Brahim,brahimelmansouri47@gmail.com,2004-06-09,m,Marrakech,0619839248,2025-06-15,Recommandation
CLI01043,Benkirane,Btissam,btissam_benkirane@hotmail.com,1980-09-18,F,Kenitra,0749426942,2026-04-19,Google SEO
CLI03290,Alaoui,Hicham,hicham.alaoui@menara.ma,1998-07-16,male,Casablanca,0745527537,2023-04-24,Google SEO
CLI04422,Benkirane,Hamid,hamid-benkirane62@yahoo.fr,2009-11-18,Homme,Kenitra,0766342833,2023-09-01,Facebook
CLI00693,Alaoui,Dounia,douniaalaoui@hotmail.com,2004-01-03,0,Marrakech,0705766194,2025-10-06,TikTok
CLI03783,El Khamlichi,Youssef,youssef.elkhamlichi36@gmail.com,1982-05-12,1,Oujda,0651210753,2023-12-04,TikTok
CLI01740,Ouazzani,Mariam,mariam.ouazzani@outlook.com,1996-11-27,F,Marrakech,0762164834,2024-08-31,Facebook
CLI03537,El Hamdouchi,Kawtar,kawtar-elhamdouchi@gmail.com,1995-01-05,0,Fès,0618087537,2024-09-02,Recommandation
CLI02370,Tazi,Youssef,yousseftazi@yahoo.fr,2001-06-16,male,Casablanca,0795458446,2025-08-23,TikTok
CLI03403,El Ghazi,Rim,rim-elghazi@yahoo.fr,1990-08-20,F,Oujda,0660771497,2025-07-28,Influenceur
CLI00154,Filali,Mustapha,mustaphafilali@outlook.com,1950-05-02,Homme,FES,0706530745,2022-12-02,Google SEO
CLI01124,Lahlou,Nabil,nabil.lahlou42@yahoo.fr,1974-01-11,m,Kenitra,0608580018,2025-10-19,Direct
CLI01815,Ouazzani,Nassim,nassim.ouazzani@outlook.com,2008-10-31,male,Tanger,0773213678,2023-06-03,Affichage
